72,1
130,2
41,3
11,4
112,5
140,6
55,7
156,8
46,9
83,10
93,11
18,12
84,13
176,14
49,15
36,16
104,17
159,18
19,19
90,20
33,21
171,22
174,23
79,24
17,25
147,26
69,27
24,28
68,29
118,30
109,31
119,32
196,33
81,34
56,35
43,36
188,37
162,38
153,39
181,40
194,41
183,42
205,43
63,44
187,45
31,46
206,47
143,48
232,49
172,50
94,51
38,52
152,53
51,54
27,55
191,56
91,57
224,58
103,59
78,60
178,61
148,62
175,63
3,64
80,65
8,66
184,67
59,68
180,69
170,70
65,71
35,72
89,73
29,74
215,75
125,76
40,77
73,78
189,79
129,80
211,81
173,82
192,83
158,84
137,85
222,86
66,87
212,88
9,89
115,90
111,91
1,92
32,93
52,94
57,95
110,96
122,97
150,98
67,99
101,100
48,101
45,102
138,103
219,104
195,105
229,106
15,107
12,108
164,109
50,110
116,111
182,112
128,113
87,114
113,115
99,116
157,117
105,118
221,119
168,120
126,121
135,122
22,123
53,124
230,125
23,126
228,127
7,128
82,129
95,130
37,131
42,132
166,133
220,134
216,135
114,136
218,137
155,138
34,139
76,140
141,141
207,142
132,143
209,144
62,145
217,146
167,147
208,148
127,149
139,150
16,151
92,152
165,153
120,154
142,155
108,156
88,157
54,158
21,159
210,160
134,161
151,162
14,163
193,164
136,165
39,166
234,167
10,168
86,169
28,170
133,171
107,172
131,173
197,174
96,175
123,176
25,177
185,178
97,179
149,180
161,181
20,182
98,183
5,184
179,185
2,186
70,187
61,188
169,189
223,190
177,191
106,192
102,193
233,194
163,195
203,196
190,197
71,198
74,199
231,200
117,201
44,202
100,203
202,204
199,205
200,206
47,207
64,208
26,209
121,210
214,211
201,212
13,213
186,214
58,215
124,216
77,217
204,218
85,219
75,220
30,221
145,222
4,223
144,224
160,225
213,226
146,227
198,228
154,229
226,230
227,231
60,232
225,233
6,234
